Date,Mkt-RF,SMB,HML,RF
1926-09-01,    0.36,   -1.40,    0.13,    0.23
1926-10-01,   -3.24,   -0.09,    0.70,    0.32
1926-11-01,    2.53,   -0.10,   -0.51,    0.31
1926-12-01,    2.62,   -0.03,   -0.05,    0.28
1927-01-01,   -0.06,   -0.37,    4.54,    0.25
1927-02-01,    4.18,    0.04,    2.94,    0.26
1927-03-01,    0.13,   -1.65,   -2.61,    0.30
1927-04-01,    0.46,    0.30,    0.81,    0.25
1927-05-01,    5.44,    1.53,    4.73,    0.30
1927-06-01,   -2.34,    0.59,   -1.73,    0.26
1927-07-01,    7.26,   -3.25,   -1.14,    0.30
1927-08-01,    1.97,   -0.69,   -3.74,    0.28
1927-09-01,    4.76,   -3.63,   -0.63,    0.21
1927-10-01,   -4.31,    2.12,   -4.33,    0.25
1927-11-01,    6.58,    2.72,   -0.27,    0.21
1927-12-01,    2.09,    0.97,   -1.13,    0.22
1928-01-01,   -0.68,    4.26,   -0.75,    0.25
1928-02-01,   -1.70,   -2.06,   -0.65,    0.33
1928-03-01,    8.81,   -0.26,   -1.22,    0.29
1928-04-01,    4.23,    3.98,    3.44,    0.22
1928-05-01,    1.52,    2.85,   -3.27,    0.32
1928-06-01,   -4.85,   -3.52,   -0.03,    0.31
1928-07-01,    0.62,   -1.32,   -0.50,    0.32
1928-08-01,    6.68,   -2.06,   -2.15,    0.32
1928-09-01,    2.88,    2.41,    0.86,    0.27
1928-10-01,    1.33,    2.22,   -2.16,    0.41
1928-11-01,   11.81,   -1.78,    2.70,    0.38
1928-12-01,    0.36,   -0.86,   -0.65,    0.06
1929-01-01,    4.66,   -3.56,   -1.24,    0.34
1929-02-01,   -0.34,   -0.38,    1.66,    0.36
1929-03-01,   -0.89,   -4.71,    1.58,    0.34
1929-04-01,    1.43,   -0.97,    0.59,    0.36
1929-05-01,   -6.39,   -5.37,   -1.42,    0.44
1929-06-01,    9.70,   -2.17,   -2.79,    0.52
1929-07-01,    4.46,   -3.88,    2.71,    0.33
1929-08-01,    8.18,   -9.59,    0.13,    0.40
1929-09-01,   -5.47,    1.19,   -0.65,    0.35
1929-10-01,  -20.12,   -4.01,    7.78,    0.46
1929-11-01,  -12.74,   -1.72,    5.05,    0.37
1929-12-01,    1.33,   -4.50,   -0.54,    0.37
1930-01-01,    5.61,    3.55,   -0.96,    0.14
1930-02-01,    2.50,    0.19,    0.20,    0.30
1930-03-01,    7.10,    3.41,    0.33,    0.35
1930-04-01,   -2.06,   -0.35,   -0.35,    0.21
1930-05-01,   -1.66,   -2.01,   -0.73,    0.26
1930-06-01,  -16.27,   -3.38,    2.33,    0.27
1930-07-01,    4.12,   -0.28,   -1.75,    0.20
1930-08-01,    0.30,   -2.10,   -0.61,    0.09
1930-09-01,  -12.75,   -2.21,   -4.96,    0.22
1930-10-01,   -8.78,   -0.12,   -1.38,    0.09
1930-11-01,   -3.04,    2.23,   -3.66,    0.13
1930-12-01,   -7.83,   -4.60,   -5.25,    0.14
1931-01-01,    6.24,    3.45,    7.12,    0.15
1931-02-01,   10.88,    3.59,    1.92,    0.04
1931-03-01,   -6.43,    2.98,   -3.44,    0.13
1931-04-01,   -9.98,   -4.45,   -3.82,    0.08
1931-05-01,  -13.24,    5.35,   -6.57,    0.09
